feature,f_score,selected,mi_score,rf_importance,f_score_norm,mi_score_norm,rf_importance_norm,composite_score
FEDFUNDS_change_1m,220.54744716815364,True,1.0854372297658028,0.22544454921105087,0.6548650131279669,1.0,0.22544454921105087,0.5866373236228104
FEDFUNDS_pct_change_1m,117.13133337208433,True,0.7798730087772576,0.18702712488243112,0.34779149192143893,0.7184874328896249,0.18702712488243112,0.3946945273962916
easing_cycle,336.7818881486817,True,0.23091990861774558,0.03353400620726549,1.0000000000000002,0.21274367810985215,0.03353400620726549,0.37723670591586184
tightening_cycle,242.16418994469646,True,0.2266321517024581,0.022573342715796887,0.7190516188487968,0.20879342028037579,0.022573342715796887,0.28738284882507054
fed_funds_momentum,141.75538133746443,True,0.42686226421976614,0.059447559354527085,0.4209076905246696,0.3932629658482114,0.059447559354527085,0.2680302206536751
FEDFUNDS_range_3m,79.5681440430522,True,0.3630860726847742,0.09408221104448825,0.23625509404674158,0.3345067432071726,0.09408221104448825,0.20886143559396955
GDP,70.56054105166913,True,0.3887824569285008,0.009360110054007494,0.20950881373641353,0.35818050668152007,0.009360110054007494,0.17405084014698308
FEDFUNDS_change_6m,85.45660766329057,True,0.26804996924022895,0.01198165262155466,0.2537397121781943,0.24695114732527113,0.01198165262155466,0.15499991889966147
FEDFUNDS_range_6m,73.4462333830632,True,0.23629964950763238,0.03347909275366059,0.21807730149710458,0.2176999673750062,0.03347909275366059,0.14412481776309746
FEDFUNDS_pct_change_3m,41.045622719398935,True,0.30230062197343655,0.034315788955090756,0.12187015117474037,0.27850585338653056,0.034315788955090756,0.13383911695041759
FEDFUNDS,77.9583348358114,True,0.20575128278556898,0.013817198115002165,0.23147508671913195,0.18955613198375598,0.013817198115002165,0.13183624485686724
PAYEMS,54.72025191596111,True,0.25958365135136874,0.011072814387117063,0.16247423485615156,0.2391512325474383,0.011072814387117063,0.12491676597592379
DGS10,82.57379180318148,True,0.15143167841914607,0.00958070620060193,0.24517976552520598,0.13951214705600196,0.00958070620060193,0.11923985625460314
FEDFUNDS_range_12m,69.22977146057278,True,0.17962384362712402,0.011408016206431065,0.2055573588881067,0.1654852429061054,0.011408016206431065,0.11587598702083605
yield_curve_momentum,82.60845779027689,True,0.13393001054054587,0.009953161998917388,0.24528269925896123,0.12338807520858945,0.009953161998917388,0.11458249713983215
FEDFUNDS_acceleration,28.724477646194693,True,0.24832732123949364,0.04570220881810148,0.08528496861425343,0.22878091374576628,0.04570220881810148,0.11250064823524651
FEDFUNDS_change_12m,58.82358110073141,True,0.15188405185060616,0.0055438447038866434,0.17465825236740345,0.13992891314717215,0.0055438447038866434,0.09659368753592734
inflation_yoy,41.94715918864841,True,0.1296621345608957,0.0022452409174417032,0.12454708388809341,0.11945613344114979,0.0022452409174417032,0.07409906156574964
employment_growth_fed_funds,43.03716591687072,True,0.12126199227096346,0.00544322713274361,0.12778364144075938,0.11171718543054517,0.00544322713274361,0.0740275389144888
gdp_growth_yoy_range_12m,0.865494151931302,False,0.24331853120811586,0.001969993355579327,0.0025632742399367583,0.2241663769544877,0.001969993355579327,0.06880689270055906
FEDFUNDS_pct_change_6m,17.694785796135545,True,0.15135056289031712,0.009459198873696673,0.0525344987899915,0.13943741631468912,0.009459198873696673,0.06137525408088286
employment_growth_yoy,34.8166897660044,True,0.09563977459834039,0.004481371046691491,0.1033745772728816,0.08811175070803119,0.004481371046691491,0.05923844681295043
yield_curve_volatility,36.66631965798357,True,0.08962029893627776,0.004513804997048088,0.10886668428609719,0.08256608164768266,0.004513804997048088,0.05923535177895319
employment_growth_yoy_lag_1,28.855730135012017,True,0.11195037043859002,0.004051252422259985,0.08567469669848345,0.10313850250257656,0.004051252422259985,0.05826446072922199
UNRATE_change_6m,22.766319146513595,True,0.1258375587959093,0.004506397945944183,0.06759340544053438,0.1159325987215865,0.004506397945944183,0.056860360427013944
UNRATE_pct_change_12m,23.034923354494993,True,0.11989907644629705,0.00397877566882797,0.06839097205687801,0.11046154780610098,0.00397877566882797,0.05524726622642489
gdp_growth_yoy_range_3m,12.193697741841657,True,0.15447990247176824,0.002576293462138773,0.03620011513068795,0.14232043846984987,0.002576293462138773,0.054586683465016855
gdp_growth_yoy_range_6m,6.590475694901414,False,0.1667034893501056,0.001512329560994423,0.019562464953183537,0.1535818790609145,0.001512329560994423,0.052548235028627176
inflation_unemployment_interaction,32.9112176993968,True,0.07328179309801364,0.003638805240907135,0.09771665806110674,0.06751361671445998,0.003638805240907135,0.05102460452903287
employment_growth_yoy_lag_6,19.50369281537224,True,0.11682604533652396,0.0029233038612148797,0.05790568735570735,0.10763040195491609,0.0029233038612148797,0.05083014833767298
gdp_growth_yoy_lag_3,21.428836240708616,True,0.11160222763470551,0.0016268938460076727,0.06362201674332457,0.10281776280954094,0.0016268938460076727,0.05058269140426272
gdp_growth_yoy_lag_6,16.6172344485147,True,0.12312257429874518,0.0031730672250682964,0.049334925005510843,0.11343131682088192,0.0031730672250682964,0.050099099437945147
inflation_yoy_range_12m,0.07668434518392798,False,0.17482557007795263,0.00214843101781243,0.00022106086497078285,0.16106465236656156,0.00214843101781243,0.049245086376584674
employment_growth_yoy_lag_3,24.22199060531466,True,0.09497629342761149,0.0029729740170781603,0.07191573147045406,0.08750049364725021,0.0029729740170781603,0.04901405714214254
months_since_recession,19.044969240196256,True,0.10963233035617148,0.0029951912443270984,0.05654359920213867,0.10100292062013211,0.0029951912443270984,0.04846203244441207
gdp_growth_yoy_lag_1,20.5734223403297,True,0.10458166189386042,0.0029599281080654183,0.06108203579803064,0.09634980174433971,0.0029599281080654183,0.04841352250593727
FEDFUNDS_pct_change_12m,15.323516152455722,True,0.11448869404642736,0.004985257959188757,0.04549348658708867,0.10547702889381248,0.004985257959188757,0.04728525782794585
UNRATE_pct_change_6m,16.62584140373143,True,0.10427849553255641,0.00504374941514057,0.04936048164217271,0.09607049829593173,0.00504374941514057,0.04564679374748756
UNRATE_change_12m,26.76463625009662,True,0.07104798799215528,0.002981940579193023,0.07946561052376379,0.06545563948224331,0.002981940579193023,0.04466915123347934
gdp_growth_yoy,20.659645770581466,True,0.08579700549274905,0.002648023035788934,0.06133805907492661,0.07904372831514252,0.002648023035788934,0.043173745431336306
FEDFUNDS_momentum_ratio,1.160332721437376,False,0.13897261167866226,0.006002108176196525,0.0034387385597840483,0.12803376175759829,0.006002108176196525,0.04184259336569331
growth_inflation_interaction,25.790542173180782,True,0.062216237556151244,0.0023425444485470977,0.07657323246772106,0.057319056183078594,0.0023425444485470977,0.04110470437465873
UNRATE_pct_change_3m,9.47021696102721,True,0.1123138251482807,0.0025804004081793437,0.028113282212636617,0.10347334886653359,0.0025804004081793437,0.0405081494870228
real_fed_funds,22.955939201466627,True,0.06010544081162572,0.0038836467246983197,0.0681564443696574,0.05537440504467886,0.0038836467246983197,0.038612713514180205
output_gap_proxy,16.87895279140891,True,0.07803327438963392,0.0014613395435460086,0.05011204541902146,0.0718910981213263,0.0014613395435460086,0.037185478879522726
policy_tightness,27.087211669236474,True,0.044543257119512125,0.00018658870362222592,0.08042343388584909,0.04103715617818168,0.00018658870362222592,0.036512812500658125
gdp_growth_yoy_change_12m,7.287643148287233,False,0.09894841220299111,0.001362391095359344,0.021632564640007276,0.09115995793173642,0.001362391095359344,0.03438271320966684
gdp_growth_yoy_pct_change_3m,5.47323279330723,False,0.10023498213084125,0.002568099771777612,0.01624503501656795,0.09234525901831123,0.002568099771777612,0.0336043281191748
gdp_growth_yoy_pct_change_6m,1.0230826103675357,False,0.11098420872389725,0.0024377248677226863,0.0030312017326382112,0.10224838957094141,0.0024377248677226863,0.03255896733816296
gdp_growth_yoy_pct_change_12m,0.1808087296998062,False,0.11162335212294838,0.0018392740113782622,0.0005302374547989772,0.10283722454133305,0.0018392740113782622,0.03174594820339091
inflation_yoy_cv_12m,10.562807994152118,True,0.06933472746859337,0.0050489150125576365,0.03135751334321209,0.06387723358591012,0.0050489150125576365,0.030589990083759715
UNRATE_change_3m,15.664062127071476,True,0.051946012925783824,0.002861382253165941,0.046504669929021046,0.047857224260671294,0.002861382253165941,0.02945312115817408
gdp_growth_yoy_cv_12m,1.065260617784796,False,0.07844006365413869,0.0026354623663732385,0.00315644091229481,0.07226586807885994,0.0026354623663732385,0.023680877643895724
gdp_growth_yoy_change_3m,1.2487289013944678,False,0.07727307972851882,0.0022502098517433932,0.0037012133835253153,0.07119074010865786,0.0022502098517433932,0.023367669988352307
real_rate_spread,14.24984806610325,True,0.03423234902217809,0.002621724928624671,0.0423054433723391,0.03153784307689921,0.002621724928624671,0.023201675906221363
real_long_rate,9.71806590019259,True,0.04644235296762278,0.0025154667324801317,0.02884922019834449,0.042786769878570795,0.0025154667324801317,0.022496983716066635
gdp_growth_yoy_change_6m,3.3045853776805765,False,0.06532555492706327,0.0029703952618862785,0.009805669102227972,0.06018363212136929,0.0029703952618862785,0.02218494847183369
inflation_yoy_change_1m,9.705699776697772,True,0.043957014616251344,0.002075211624934599,0.028812501461332997,0.04049705815391613,0.002075211624934599,0.02162295253454858
inflation_yoy_pct_change_12m,0.4583240245317064,False,0.0727043196431536,0.0025731739732095847,0.0013542637660249393,0.06698159750687795,0.0025731739732095847,0.0215300279711547
inflation_yoy_change_3m,10.79527566199084,True,0.0375076429331187,0.002595246243375032,0.03204777971186206,0.03455533116476156,0.002595246243375032,0.0210190317603371
inflation_yoy_cv_6m,2.781374728760553,False,0.050060769608093914,0.0028986085699960968,0.008252099446599211,0.046120372726569527,0.0028986085699960968,0.017471185079949058
UNRATE,11.333976191404789,True,0.020749909971676805,0.0016140557065864424,0.03364734347780634,0.019116637427439142,0.0016140557065864424,0.01647481655420822
inflation_yoy_change_6m,7.005324422160806,False,0.030897132467607946,0.002752620602860083,0.02079427549770653,0.02846514899279289,0.002752620602860083,0.01587887558829386
UNRATE_change_1m,10.935126504989222,True,0.01946689266132573,0.0016764412044737692,0.0324630388936942,0.017934609323770813,0.0016764412044737692,0.015789870947029012
inflation_yoy_pct_change_6m,0.03249255740313991,False,0.044842853028647545,0.0020311621654897087,8.984216621927372e-05,0.041313170212821035,0.0020311621654897087,0.013233368579907976
month_sin,2.0924494525682467,False,0.030822966343720726,0.0016330033008202785,0.006206473260860719,0.028396820652974268,0.0016330033008202785,0.011034189494478609
quarter_cos,7.262827307057695,False,0.012151650361494903,0.0008120508374130095,0.021558878949563685,0.011195166360856058,0.0008120508374130095,0.010151033928091125
inflation_yoy_range_6m,0.433877112249721,False,0.032442781094988105,0.0017938847215154255,0.0012816735364997829,0.029889136105998554,0.0017938847215154255,0.01006879678135567
taylor_deviation_original,2.6450962082324274,False,0.023145112894053632,0.00235861731535102,0.007847447563761024,0.021323308487444723,0.00235861731535102,0.009694673741502131
gdp_growth_yoy_pct_change_1m,0.2757714483889773,False,0.029976288813209795,0.0019659975369564296,0.0008122103054587074,0.027616787033993267,0.0019659975369564296,0.009315098216618163
gdp_vs_trend,8.74058171399861,False,0.0017463035766245305,0.0017152967091676441,0.025946775889035205,0.0016088480556368222,0.0017152967091676441,0.008952805867068666
inflation_yoy_change_12m,5.719610942518815,False,0.009407991972291807,0.00211735311117477,0.016976605784890752,0.008667467555283416,0.00211735311117477,0.008540163246522159
inflation_yoy_pct_change_3m,1.1993166001975986,False,0.02204422851845722,0.0024490286897691413,0.0035544934115356417,0.02030907722154836,0.0024490286897691413,0.008138682665832857
inflation_yoy_acceleration,0.35442796692032813,False,0.024634058505184298,0.0018931641223133722,0.0010457651473946305,0.02269505580760245,0.0018931641223133722,0.007879511935424473
gdp_growth_yoy_change_1m,0.0022355438745495708,False,0.026365384152949423,0.001332529941441328,0.0,0.024290104881180552,0.001332529941441328,0.007820043440930697
gdp_growth_yoy_cv_6m,3.495778027758917,False,0.00983540042718678,0.0022814671813735777,0.0103733775388855,0.009061233719898197,0.0022814671813735777,0.00674297025018454
UNRATE_lag_6,5.508015452459699,False,0.002386643874786376,0.0026615963620164164,0.01634831518472373,0.002198785714491593,0.0026615963620164164,0.006628768814571163
inflation_yoy_momentum_ratio,0.3780150751850923,False,0.017542392530219164,0.002087344445252092,0.0011158023603982392,0.016161590969202486,0.002087344445252092,0.006018155776981055
month_cos,4.547911225904208,False,0.0045230938270468535,0.0008752730687637435,0.013497477198730191,0.004167070838377977,0.0008752730687637435,0.0056494736386379476
UNRATE_momentum_ratio,0.8031001208623115,False,0.013629805179029342,0.001991302213175713,0.002378007610594972,0.012556972255291215,0.001991302213175713,0.005277014845036141
inflation_yoy_pct_change_1m,0.25377935676977564,False,0.01238596542671333,0.0029056819935964935,0.0007469091762215198,0.011411037955078952,0.0029056819935964935,0.0048096569368287385
inflation_yoy_range_3m,0.41366109889247354,False,0.006354402081464983,0.002540939713343451,0.0012216461173820078,0.005854232660543648,0.002540939713343451,0.003139139518715077
UNRATE_acceleration,1.6981614538808123,False,0.0,0.001345303989609937,0.0050357136985242435,0.0,0.001345303989609937,0.0020488357054012475
quarter_sin,0.21010347228049928,False,0.0007172080237420886,0.0002971313350726347,0.0006172223493854351,0.0006607549511608658,0.0002971313350726347,0.0005022457241929441
